ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
AS,33,As,Arsenic,74.92159,Color.decode(,BD80E3,[Ar]4s2 3d10 4p3,2.18,185,9.815,0.81,"+5, +3, -3",Solid,1090,887,5.776,Metalloid,Year.of(,
SE,34,Se,Selenium,78.97,Color.decode(,FFA100,[Ar]4s2 3d10 4p4,2.55,190,9.752,2.021,"+6, +4, -2",Solid,493.65,958,4.809,Nonmetal,Year.of(,1817
BR,35,Br,Bromine,79.9,Color.decode(,A62929,[Ar]4s2 3d10 4p5,2.96,183,11.814,3.365,"+5, +1, -1",Liquid,265.95,331.95,3.11,Halogen,Year.of(,1826
KR,36,Kr,Krypton,83.8,Color.decode(,5CB8D1,[Ar]4s2 3d10 4p6,3,202,14,,0,Gas,115.79,119.93,0.003733,Noble gas,Year.of(,1898
RB,37,Rb,Rubidium,85.468,Color.decode(,702EB0,[Kr]5s1,0.82,303,4.177,0.468,1,Solid,312.46,961,1.53,Alkali metal,Year.of(,1861
SR,38,Sr,Strontium,87.62,Color.decode(,00FF00,[Kr]5s2,0.95,249,5.695,,2,Solid,1050,1655,2.64,Alkaline earth metal,Year.of(,1790
Y,39,Y,Yttrium,88.90584,Color.decode(,94FFFF,[Kr]5s2 4d1,1.22,219,6.217,0.307,3,Solid,1795,3618,4.47,Transition metal,Year.of(,1794
ZR,40,Zr,Zirconium,91.22,Color.decode(,94E0E0,[Kr]5s2 4d2,1.33,186,6.634,0.426,4,Solid,2128,4682,6.52,Transition metal,Year.of(,1789
NB,41,Nb,Niobium,92.90637,Color.decode(,73C2C9,[Kr]5s1 4d4,1.6,207,6.759,0.893,"+5, +3",Solid,2750,5017,8.57,Transition metal,Year.of(,1801
MO,42,Mo,Molybdenum,95.95,Color.decode(,54B5B5,[Kr]5s1 4d5,2.16,209,7.092,0.746,6,Solid,2896,4912,10.2,Transition metal,Year.of(,1778
TC,43,Tc,Technetium,96.90636,Color.decode(,3B9E9E,[Kr]5s2 4d5,1.9,209,7.28,0.55,"+7, +6, +4",Solid,2430,4538,11,Transition metal,Year.of(,1937
RU,44,Ru,Ruthenium,101.1,Color.decode(,248F8F,[Kr]5s1 4d7,2.2,207,7.361,1.05,3,Solid,2607,4423,12.1,Transition metal,Year.of(,1827
RH,45,Rh,Rhodium,102.9055,Color.decode(,0A7D8C,[Kr]5s1 4d8,2.28,195,7.459,1.137,3,Solid,2237,3968,12.4,Transition metal,Year.of(,1803
PD,46,Pd,Palladium,106.42,Color.decode(,6985,[Kr]4d10,2.2,202,8.337,0.557,"+3, +2",Solid,1828.05,3236,12,Transition metal,Year.of(,1803
AG,47,Ag,Silver,107.868,Color.decode(,C0C0C0,[Kr]5s1 4d10,1.93,172,7.576,1.302,1,Solid,1234.93,2435,10.501,Transition metal,Year.of(,
CD,48,Cd,Cadmium,112.41,Color.decode(,FFD98F,[Kr]5s2 4d10,1.69,158,8.994,,2,Solid,594.22,1040,8.69,Transition metal,Year.of(,1817
IN,49,In,Indium,114.818,Color.decode(,A67573,[Kr]5s2 4d10 5p1,1.78,193,5.786,0.3,3,Solid,429.75,2345,7.31,Post-transition metal,Year.of(,1863
SN,50,Sn,Tin,118.71,Color.decode(,668080,[Kr]5s2 4d10 5p2,1.96,217,7.344,1.2,"+4, +2",Solid,505.08,2875,7.287,Post-transition metal,Year.of(,
SB,51,Sb,Antimony,121.76,Color.decode(,9E63B5,[Kr]5s2 4d10 5p3,2.05,206,8.64,1.07,"+5, +3, -3",Solid,903.78,1860,6.685,Metalloid,Year.of(,
TE,52,Te,Tellurium,127.6,Color.decode(,D47A00,[Kr]5s2 4d10 5p4,2.1,206,9.01,1.971,"+6, +4, -2",Solid,722.66,1261,6.232,Metalloid,Year.of(,1782
